msg_count_gwgw,9888,,,
msg_cnt_gw_ce,4416,,,
value,time,ID,orig_measurement,type
150,2024-01-01 02:00:00,3-2,146,2p_household
150,2024-01-01 02:00:00,3-6,154,2p_household
1040,2024-01-01 02:00:00,3-3,1007,store
85,2024-01-01 02:00:00,3-5,86,1p_household
200,2024-01-01 02:15:00,8-5,202,3p_household
220,2024-01-01 02:15:00,11-7,210,3p_household
220,2024-01-01 02:15:00,11-3,215,3p_household
90,2024-01-01 02:15:00,11-1,89,1p_household
90,2024-01-01 02:15:00,11-8,90,1p_household
150,2024-01-01 02:15:00,13-0,147,2p_household
140,2024-01-01 02:15:00,13-1,143,2p_household
200,2024-01-01 02:15:00,13-7,209,4p_household
90,2024-01-01 02:15:00,13-2,92,1p_household
150,2024-01-01 02:15:00,3-4,151,2p_household
1040,2024-01-01 02:15:00,3-3,1041,store
90,2024-01-01 02:15:00,3-5,92,1p_household
90,2024-01-01 02:15:00,3-8,91,1p_household
85,2024-01-01 02:15:00,3-7,85,1p_household
150,2024-01-01 02:15:00,5-0,149,2p_household
90,2024-01-01 02:15:00,5-10,89,1p_household
85,2024-01-01 02:15:00,5-4,85,1p_household
140,2024-01-01 02:15:00,8-1,139,2p_household
140,2024-01-01 02:15:00,8-3,143,2p_household
140,2024-01-01 02:15:00,8-6,144,2p_household
90,2024-01-01 02:15:00,8-0,89,1p_household
85,2024-01-01 02:15:00,8-2,84,1p_household
85,2024-01-01 02:15:00,8-4,85,1p_household
150,2024-01-01 02:15:00,11-6,145,2p_household
140,2024-01-01 02:15:00,11-4,144,2p_household
90,2024-01-01 02:15:00,11-0,92,1p_household
90,2024-01-01 02:15:00,11-5,91,1p_household
85,2024-01-01 02:15:00,11-2,85,1p_household
140,2024-01-01 02:15:00,13-6,140,2p_household
220,2024-01-01 02:15:00,13-5,210,4p_household
90,2024-01-01 02:15:00,13-8,92,1p_household
90,2024-01-01 02:15:00,13-3,92,1p_household
85,2024-01-01 02:15:00,13-4,86,1p_household
150,2024-01-01 02:15:00,3-2,145,2p_household
140,2024-01-01 02:15:00,3-6,144,2p_household
220,2024-01-01 02:15:00,3-0,214,4p_household
90,2024-01-01 02:15:00,3-1,90,1p_household
150,2024-01-01 02:15:00,5-5,151,2p_household
140,2024-01-01 02:15:00,5-8,144,2p_household
220,2024-01-01 02:15:00,5-9,212,4p_household
220,2024-01-01 02:15:00,5-6,218,4p_household
200,2024-01-01 02:15:00,5-7,205,4p_household
90,2024-01-01 02:15:00,5-2,90,1p_household
90,2024-01-01 02:15:00,5-1,90,1p_household
85,2024-01-01 02:15:00,5-3,84,1p_household
150,2024-01-01 02:30:00,11-4,150,2p_household
220,2024-01-01 02:30:00,11-3,211,3p_household
85,2024-01-01 02:30:00,11-2,87,1p_household
85,2024-01-01 02:30:00,11-0,83,1p_household
85,2024-01-01 02:30:00,11-8,87,1p_household
200,2024-01-01 02:30:00,11-7,206,3p_household
150,2024-01-01 02:30:00,13-1,145,2p_household
140,2024-01-01 02:30:00,13-0,140,2p_household
140,2024-01-01 02:30:00,13-6,138,2p_household
220,2024-01-01 02:30:00,13-5,212,4p_household
90,2024-01-01 02:30:00,13-8,89,1p_household
90,2024-01-01 02:30:00,13-3,88,1p_household
90,2024-01-01 02:30:00,13-4,90,1p_household
150,2024-01-01 02:30:00,3-2,149,2p_household
140,2024-01-01 02:30:00,3-6,140,2p_household
140,2024-01-01 02:30:00,3-4,138,2p_household
220,2024-01-01 02:30:00,3-0,218,4p_household
1040,2024-01-01 02:30:00,3-3,1044,store
90,2024-01-01 02:30:00,3-5,91,1p_household
90,2024-01-01 02:30:00,3-1,91,1p_household
